VIN;8964;09/09/2022 15:57
VIN;5726;05/09/2022 19:30
SAI;4150;07/09/2022 14:18
LEC;3627;05/09/2022 20:00
KVI;3626;09/09/2022 15:44
VET;3313;05/09/2022 20:06
HAM;2825;05/09/2022 19:39
BOB;2050;05/09/2022 17:38
BOT;1000;04/09/2022 15:59
OSI;500;04/09/2022 16:50
AAA;250;07/09/2022 14:36
DIL;250;05/09/2022 11:27
VIN;250;04/09/2022 16:01
EXE;0;09/09/2022 12:14
REN;0;05/09/2022 17:41
LOS;0;05/09/2022 11:29
SAS;0;04/09/2022 16:48
PEP;0;04/09/2022 16:45
MAN;0;04/09/2022 16:22
